date, pm25, pm10, o3, no2, so2, co
2019/4/2, 45, 25, 35, 16, 1, 3
2019/4/3, 47, 36, 48, 28, 1, 6
2019/4/4, 69, 51, 38, 40, 2, 9
2019/4/5, 79, 51, 26, 32, 1, 9
2019/4/6, 83, 23, 26, 19, , 5
2019/4/7, 41, 12, 13, 12, , 5
2019/4/8, 33, 9, 5, 16, , 5
2019/4/9, 13, 7, 5, 17, , 3
2019/4/10, 15, 7, 12, 12, , 3
2019/4/11, 62, 21, 27, 17, , 4
2019/4/12, 82, 23, 27, 19, , 6
2019/4/13, 80, 29, 47, 15, , 11
2019/4/14, 77, 14, 12, 13, , 2
2019/4/15, 40, 18, 22, 18, , 5
2019/4/16, 49, 16, 15, 17, , 6
2019/4/17, 37, 14, 14, 13, 1, 7
2019/4/18, 36, 12, 16, 9, , 6
2019/4/19, 35, 19, 47, 14, , 
2019/4/20, 47, 24, 32, 21, 1, 
2019/4/21, 59, 28, 26, 16, , 5
2019/4/22, 77, 34, 43, 18, 2, 5
2019/4/23, 96, 21, 28, 11, 1, 4
2019/4/24, 57, 24, 22, 20, 1, 5
2019/4/25, 64, 28, 31, 10, , 4
2019/4/26, 71, 32, 26, , 1, 5
2019/4/27, 79, 27, 27, , , 7
2019/4/28, 72, 20, 25, , 1, 4
2019/4/29, 48, 10, 10, , , 4
2019/4/30, 35, 19, 23, , , 4
2019/5/1, 59, 21, 31, 17, , 5
2019/5/2, 66, 38, 21, 29, 1, 11
2019/5/3, 99, 38, 21, 33, 1, 11
2019/5/4, 93, 34, 37, 27, 1, 10
2019/5/5, 105, 26, 30, 17, 1, 7
2019/5/6, 79, 30, 19, 22, , 9
2019/5/7, 70, 13, 12, 14, , 4
2019/5/8, 47, 9, 12, 10, , 2
2019/5/9, 34, 16, 15, 15, 1, 3
2019/5/10, 43, 29, 17, 24, , 8
2019/5/11, 64, 32, 19, 20, , 9
2019/5/12, 75, 26, 20, 13, , 6
2019/5/13, 61, 20, 25, 17, , 4
2019/5/14, 49, 19, 15, 16, , 5
2019/5/15, 63, 7, 13, 11, , 2
2019/5/16, 17, 5, 10, 12, , 2
2019/5/19, 37, 14, 17, 10, , 5
2019/5/20, 31, 21, 10, 20, , 6
2019/5/21, 49, 33, 19, 28, 1, 8
2019/5/22, 63, 33, 20, 35, 1, 13
2019/5/23, 68, 46, 19, 36, 1, 10
2019/5/24, 72, 29, 14, 18, 1, 5
2019/5/25, 53, 10, 12, 10, , 2
2019/5/26, 15, 20, 23, 9, 1, 2
2019/5/27, 31, 29, 15, 27, 1, 8
2019/5/28, 47, 45, 16, 30, 1, 10
2019/5/29, 67, 20, 11, 20, , 5
2019/5/30, 42, 29, 12, 20, 1, 7
2019/5/31, 44, 39, 17, 22, 1, 8
2019/6/1, 60, 22, 8, 20, , 8
2019/6/2, 33, 16, 4, 14, , 8
2019/6/3, 29, 21, 3, 18, , 7
2019/6/4, 27, 14, 16, 12, , 2
2019/6/5, 13, 9, 13, 13, , 3
2019/6/6, 14, 15, 14, 16, 1, 4
2019/6/7, 59, 29, 15, 26, 1, 10
2019/6/8, 73, 39, 19, 26, 1, 13
2019/6/9, 104, 41, 27, 17, 2, 14
2019/6/10, 110, 32, 21, 24, 1, 6
2019/6/11, 67, 40, 15, 31, 1, 10
2019/6/12, 101, 45, 12, 34, 1, 15
2019/6/13, 101, 53, 11, 38, 1, 21
2019/6/14, 110, 35, 13, 31, 2, 11
2019/6/15, 78, 37, 17, 28, 2, 10
2019/6/16, 84, 39, 27, 23, 1, 12
2019/6/17, 108, 32, 25, 21, 2, 6
2019/6/18, 79, 33, 16, 28, 1, 9
2019/6/19, 77, 40, 14, 32, 1, 12
2019/6/20, 97, 45, 9, 23, 1, 17
2019/6/21, 109, 18, 16, 12, 1, 2
2019/6/22, 46, 31, 23, 15, 1, 4
2019/6/23, 66, 39, 26, 17, 1, 8
2019/6/24, 92, 37, 20, 25, 1, 7
2019/6/25, 66, 36, 15, 26, 1, 7
2019/6/26, 67, 46, 18, 27, 1, 9
2019/6/27, 88, 27, 8, 15, 1, 5
2019/6/28, 65, 32, 22, 23, , 5
2019/6/29, 72, 41, 20, 25, 1, 10
2019/6/30, 84, 36, 24, 17, 1, 9
2019/7/1, 76, 32, 19, 25, 1, 9
2019/1/5, 31, 11, 16, 15, , 5
2019/1/6, 53, 11, 14, 10, , 4
2019/1/9, 59, 25, 30, 24, 1, 5
2019/1/10, 47, 26, 12, 26, , 3
2019/1/11, 71, 30, 40, 17, , 3
2019/1/12, 53, 23, 43, 25, , 5
2019/1/15, 61, 25, 31, 22, 1, 5
2019/1/16, 58, 28, 35, 19, , 4
2019/1/17, 57, 26, 31, 24, , 5
2019/1/18, 48, 18, 35, 24, , 5
2019/1/19, 49, 20, 35, 21, , 6
2019/1/20, 48, 20, 38, 14, , 4
2019/1/21, 36, 11, 37, 9, , 3
2019/1/22, 50, 17, 29, 14, , 4
2019/1/23, 63, 27, 56, 16, 1, 5
2019/1/24, 58, 25, 47, , , 4
2019/1/25, 58, 27, 43, , 1, 4
2019/1/26, 42, 15, 21, 11, , 2
2019/1/27, 49, 19, 36, 18, , 6
2019/1/28, 36, 13, 22, 12, , 3
2019/1/29, 58, 24, 29, 19, 1, 6
2019/1/30, 68, 29, 32, 32, 1, 8
