date, pm25, pm10, o3, no2, so2, co
2019/4/12, 51, , 32, 17, , 
2019/4/13, 61, , 54, 18, , 
2019/4/14, 82, , 12, 11, , 
2019/4/15, 48, , 19, 13, , 
2019/4/16, 59, , 21, 7, , 
2019/4/17, 41, 24, 26, 14, 1, 
2019/4/18, 38, 26, 27, 14, , 
2019/4/19, 28, 23, 70, 16, , 
2019/4/22, 71, 50, 34, 20, 2, 
2019/4/23, 85, , 27, 12, 1, 
2019/4/24, 53, , 25, 15, 1, 
2019/4/25, 65, , 33, 15, , 
2019/4/26, 73, , 27, 20, 1, 
2019/4/27, 80, 35, 31, 18, , 4
2019/4/28, 65, 33, 31, 12, 1, 3
2019/4/29, 42, 13, 13, 13, , 2
2019/4/30, 30, 28, 30, 15, , 2
2019/5/1, 46, 34, 40, 13, , 3
2019/5/2, 59, 52, 29, 30, 1, 7
2019/5/3, 101, 44, 32, 23, 1, 6
2019/5/4, 84, 57, 43, 22, 1, 
2019/5/5, 80, , 29, 15, 1, 
2019/5/6, 78, , 33, 20, , 
2019/5/7, 62, , 15, 12, 1, 
2019/5/8, 47, , 13, 10, , 
2019/5/9, 39, , 15, 13, 1, 
2019/5/10, 54, , 32, 21, , 
2019/5/11, 70, , 25, 18, , 
2019/5/12, 76, , 24, 13, , 
2019/5/13, 66, , 21, 14, , 
2019/5/14, 72, , 27, 14, , 
2019/5/15, 60, , 17, 10, , 
2019/5/16, 41, , 10, 12, , 
2019/5/17, 44, 13, 11, 13, , 
2019/5/18, 52, 13, 5, 16, , 
2019/5/19, 59, 14, 16, 10, , 
2019/5/20, 44, 23, 21, 20, , 
2019/5/21, 57, 33, 33, 27, 1, 
2019/5/22, 74, 41, 34, 35, 1, 10
2019/5/23, 69, 49, 39, 33, 1, 7
2019/5/24, 88, 42, 19, 19, 1, 3
2019/5/25, 57, 12, 18, 9, , 1
2019/5/26, 22, 24, 23, 8, 1, 1
2019/5/27, 42, 44, 27, 23, 1, 4
2019/5/28, 50, 65, 29, 22, 1, 10
2019/5/29, 71, , 20, 19, , 
2019/5/30, 54, , 20, 19, 1, 
2019/5/31, 57, , 27, 19, 1, 
2019/6/1, 65, , 17, 18, , 6
2019/6/2, 48, 17, 8, 14, , 5
2019/6/3, 50, 14, 6, 17, , 3
2019/6/4, 38, 13, 18, 10, , 1
2019/6/5, 25, 16, 11, 14, , 2
2019/6/6, 31, 16, 13, 16, 1, 3
2019/6/7, 39, 31, 27, 20, 1, 5
2019/6/8, 58, 45, 25, , 1, 
2019/6/9, 85, 33, 26, , 2, 
2019/6/10, 86, 31, 18, 27, 1, 
2019/6/11, 67, 46, 17, 28, 1, 
2019/6/12, 85, 63, 20, 26, 1, 
2019/6/13, 80, , 20, 26, 1, 
2019/6/14, 79, , 22, 24, 2, 
2019/6/15, 70, , 24, 20, 2, 
2019/6/16, 71, , 33, 16, 1, 
2019/6/17, 82, 42, 19, 19, 2, 4
2019/6/18, 76, 46, 26, 24, 1, 5
2019/6/19, 72, 59, 23, 29, 1, 9
2019/6/20, 83, 49, 16, 18, 1, 8
2019/6/21, 82, 25, 16, 11, 1, 1
2019/6/22, 39, 33, 27, 15, 1, 
2019/6/23, 60, 38, 29, 16, 1, 
2019/6/24, 85, 44, 30, 22, 1, 
2019/6/25, 53, 55, 28, 23, 1, 7
2019/6/26, 55, 55, 28, 20, 1, 6
2019/6/27, 69, 47, 18, 19, 1, 4
2019/6/28, 59, 48, 26, 21, , 4
2019/6/29, 69, 42, 25, 20, 1, 6
2019/6/30, 84, 52, 30, 16, 1, 10
2019/7/1, 57, , 32, 22, 1, 
2019/1/2, 67, 14, 32, 2, , 
2019/1/3, 45, 15, 34, 11, 1, 2
2019/1/4, 34, 11, 24, 17, , 2
2019/1/5, 23, 9, 22, 11, , 2
2019/1/6, 22, 11, 28, 10, , 2
2019/1/7, 29, 16, 34, 16, , 4
2019/1/8, 36, 20, 41, 24, 1, 4
2019/1/9, 48, 22, 66, 15, , 2
2019/1/10, 69, 21, 59, 13, , 2
2019/1/11, 53, 23, 46, 23, , 3
2019/1/12, 48, 25, 33, 34, , 3
2019/1/13, 69, 14, 36, 8, , 1
2019/1/14, 57, 23, 42, 17, 1, 3
2019/1/15, 59, 27, 44, 19, , 
2019/1/16, 60, 30, 41, 22, , 
2019/1/17, 51, 22, 48, 24, , 
2019/1/18, 35, 24, 38, 19, , 
2019/1/19, 46, 25, 50, 15, , 
2019/1/20, 52, 15, 38, 5, , 
2019/1/21, 40, 17, 38, 16, , 
